,lead_id,nome,email,telefone,data_captura,campanha_origem,ad_clicked,canal_origem,etapa_funil,ultima_interacao,status,pontuacao,sale_id,data_venda,produto,valor_total,quantidade,meio_pagamento,status_pagamento,utm_source,utm_campaign,dias_para_conversao
0,lead_1,Dr. Thomas Fogaça,dr..thomas.fogaca@email.com,+55 11 5191 4116,2025-04-27,Camisetas Filmes,Video 3,Facebook,Comprou,2025-04-27,Ganhou,81.0,789ffc09-f841-4a84-8fdd-4e264b7ad40b,2025-04-28,Camiseta,337.74,1,Cartão,Aprovado,source_5,campaign_2,1.0
1,lead_10,Vitor da Costa,vitor.da.costa@email.com,0800 101 4453,2025-04-05,Camisetas Series,Video 2,Facebook,Carrinho,2025-04-12,Em negociação,42.0,,,,,0,,,,,
2,lead_100,Kaique Sousa,kaique.sousa@email.com,0800 236 8544,2025-03-14,Camisetas Series,Imagem 3,Instagram,Carrinho,2025-03-17,Em negociação,56.0,,,,,0,,,,,
3,lead_101,Davi Fernandes,davi.fernandes@email.com,11 9248 6176,2025-03-25,Camisetas Series,Imagem 3,Instagram,Carrinho,2025-03-29,Em negociação,55.0,,,,,0,,,,,
4,lead_102,Yuri Fogaça,yuri.fogaca@email.com,+55 (081) 6442 3870,2025-02-28,Camisetas Filmes,Video 3,Google,Checkout,2025-03-10,Perdido,64.0,,,,,0,,,,,
5,lead_103,Gael Henrique Novais,gael.henrique.novais@email.com,0800 325 3987,2025-03-14,Camisetas Series,Video 2,Facebook,Visita,2025-03-19,Perdido,39.0,,,,,0,,,,,
6,lead_104,Elisa Cavalcanti,elisa.cavalcanti@email.com,+55 (011) 7359 9296,2025-04-01,Camisetas Filmes,Video 1,Instagram,Carrinho,2025-04-08,Em negociação,40.0,,,,,0,,,,,
7,lead_105,Luana Martins,luana.martins@email.com,+55 (021) 3516-9104,2025-03-03,Camisetas Filmes,Video 1,Instagram,Comprou,2025-03-11,Ganhou,82.0,9a016f9b-30a9-4cae-b365-051918d1d719,2025-03-21,Camiseta,397.88,1,Cartão,Aprovado,source_4,campaign_1,18.0
8,lead_105,Luana Martins,luana.martins@email.com,+55 (021) 3516-9104,2025-03-03,Camisetas Filmes,Video 1,Instagram,Comprou,2025-03-11,Ganhou,82.0,fb389234-48a4-4924-8305-f73fd32a55f0,2025-03-20,Camiseta,221.06,4,Cartão,Aprovado,source_6,campaign_2,17.0
9,lead_106,Thales Costa,thales.costa@email.com,(021) 9482-3200,2025-04-18,Camisetas Series,Imagem 2,Google,Carrinho,2025-04-22,Em negociação,72.0,,,,,0,,,,,
